source,target,edge_width
1,2,87
1,3,58
1,4,52
1,5,41
1,6,43
1,7,48
1,8,38
1,9,35
1,10,34
1,11,39
1,12,32
1,13,42
1,14,18
1,15,20
1,16,22
1,17,19
1,18,21
1,19,18
1,20,17
1,21,16
1,22,15
1,23,14
1,24,15
1,25,14
1,26,13
1,27,12
1,28,11
1,29,13
1,30,11
1,31,10
1,32,10
1,33,8
1,34,9
1,35,8
1,36,7
1,37,9
1,38,10
1,39,8
1,40,6
1,41,5
1,42,6
1,43,9
1,44,5
1,45,7
1,46,6
1,47,5
1,48,6
1,49,5
1,50,4
2,3,42
2,4,38
2,5,35
2,6,48
2,7,40
2,8,32
2,9,30
2,10,28
2,11,34
2,12,26
2,13,36
2,14,16
2,15,18
2,16,20
2,17,17
2,18,25
2,19,15
2,20,14
2,21,14
2,22,12
2,23,13
2,24,22
2,25,13
2,26,12
2,27,10
2,28,10
2,29,11
2,30,9
2,31,8
2,32,8
2,33,6
2,34,8
2,35,15
2,36,6
2,37,7
2,38,9
2,39,7
2,40,5
2,41,4
2,42,5
2,43,7
2,44,4
2,45,6
2,46,5
2,47,4
2,48,5
2,49,4
2,50,3
3,4,30
3,5,25
3,6,18
3,7,22
3,8,28
3,9,24
3,10,16
3,11,22
3,12,20
3,13,26
3,14,10
3,15,18
3,16,12
3,17,11
3,18,14
3,19,18
3,20,10
3,21,15
3,22,9
3,23,12
3,24,10
3,25,15
3,26,9
3,27,14
3,28,8
3,29,14
3,30,10
3,31,12
3,32,9
3,33,8
3,34,7
3,35,6
3,36,12
3,37,8
3,38,10
3,39,10
3,40,8
3,41,9
3,42,5
3,43,10
3,44,4
3,45,7
3,46,6
3,47,4
3,48,5
3,49,6
3,50,7
4,5,20
4,6,15
4,7,18
4,8,22
4,9,18
4,10,12
4,11,28
4,12,16
4,13,20
4,14,8
4,15,14
4,16,10
4,17,9
4,18,12
4,19,12
4,20,8
4,21,16
4,22,7
4,23,14
4,24,9
4,25,10
4,26,7
4,27,10
4,28,6
4,29,18
4,30,8
4,31,7
4,32,7
4,33,5
4,34,5
4,35,5
4,36,8
4,37,6
4,38,8
4,39,9
4,40,7
4,41,6
4,42,4
4,43,6
4,44,3
4,45,8
4,46,5
4,47,3
4,48,4
4,49,4
4,50,6
5,6,22
5,7,20
5,8,18
5,9,16
5,10,14
5,11,30
5,12,32
5,13,24
5,14,10
5,15,12
5,16,14
5,17,12
5,18,14
5,19,10
5,20,10
5,21,25
5,22,9
5,23,15
5,24,11
5,25,12
5,26,10
5,27,8
5,28,9
5,29,16
5,30,12
5,31,14
5,32,15
5,33,6
5,34,8
5,35,6
5,36,7
5,37,10
5,38,9
5,39,12
5,40,4
5,41,3
5,42,8
5,43,18
5,44,5
5,45,10
5,46,9
5,47,4
5,48,5
5,49,8
5,50,7
6,7,25
6,8,20
6,9,22
6,10,26
6,11,18
6,12,15
6,13,24
6,14,18
6,15,14
6,16,35
6,17,28
6,18,12
6,19,10
6,20,16
6,21,10
6,22,14
6,23,8
6,24,8
6,25,16
6,26,12
6,27,8
6,28,15
6,29,8
6,30,6
6,31,8
6,32,6
6,33,4
6,34,18
6,35,6
6,36,5
6,37,5
6,38,10
6,39,6
6,40,3
6,41,2
6,42,6
6,43,8
6,44,8
6,45,5
6,46,4
6,47,6
6,48,7
6,49,4
6,50,3
7,8,20
7,9,22
7,10,18
7,11,16
7,12,14
7,13,35
7,14,12
7,15,14
7,16,14
7,17,12
7,18,10
7,19,10
7,20,10
7,21,10
7,22,10
7,23,8
7,24,8
7,25,12
7,26,12
7,27,8
7,28,8
7,29,8
7,30,8
7,31,12
7,32,8
7,33,6
7,34,10
7,35,6
7,36,6
7,37,8
7,38,14
7,39,8
7,40,4
7,41,4
7,42,6
7,43,10
7,44,5
7,45,6
7,46,5
7,47,4
7,48,5
7,49,4
7,50,4
8,9,20
8,10,14
8,11,16
8,12,18
8,13,45
8,14,10
8,15,18
8,16,12
8,17,14
8,18,10
8,19,14
8,20,8
8,21,12
8,22,8
8,23,8
8,24,8
8,25,28
8,26,8
8,27,12
8,28,10
8,29,10
8,30,8
8,31,18
8,32,8
8,33,6
8,34,14
8,35,6
8,36,8
8,37,8
8,38,10
8,39,8
8,40,4
8,41,6
8,42,4
8,43,8
8,44,4
8,45,5
8,46,6
8,47,4
8,48,4
8,49,5
8,50,4
9,10,18
9,11,14
9,12,12
9,13,22
9,14,12
9,15,32
9,16,12
9,17,14
9,18,10
9,19,16
9,20,8
9,21,10
9,22,8
9,23,8
9,24,8
9,25,12
9,26,8
9,27,12
9,28,8
9,29,8
9,30,6
9,31,14
9,32,6
9,33,6
9,34,8
9,35,6
9,36,8
9,37,6
9,38,10
9,39,6
9,40,6
9,41,8
9,42,4
9,43,6
9,44,4
9,45,4
9,46,4
9,47,4
9,48,4
9,49,4
9,50,3
10,11,14
10,12,10
10,13,18
10,14,28
10,15,12
10,16,16
10,17,14
10,18,10
10,19,8
10,20,10
10,21,8
10,22,20
10,23,8
10,24,8
10,25,10
10,26,8
10,27,6
10,28,8
10,29,6
10,30,6
10,31,6
10,32,6
10,33,4
10,34,8
10,35,4
10,36,4
10,37,4
10,38,8
10,39,6
10,40,3
10,41,3
10,42,4
10,43,6
10,44,14
10,45,4
10,46,4
10,47,12
10,48,10
10,49,5
10,50,3
11,12,22
11,13,16
11,14,10
11,15,10
11,16,10
11,17,8
11,18,10
11,19,8
11,20,8
11,21,28
11,22,8
11,23,18
11,24,8
11,25,8
11,26,8
11,27,6
11,28,6
11,29,18
11,30,10
11,31,8
11,32,10
11,33,4
11,34,6
11,35,6
11,36,6
11,37,8
11,38,8
11,39,32
11,40,6
11,41,4
11,42,6
11,43,10
11,44,4
11,45,14
11,46,8
11,47,4
11,48,6
11,49,6
11,50,8
12,13,22
12,14,8
12,15,10
12,16,10
12,17,8
12,18,8
12,19,8
12,20,6
12,21,14
12,22,6
12,23,8
12,24,8
12,25,10
12,26,6
12,27,6
12,28,6
12,29,10
12,30,8
12,31,14
12,32,8
12,33,4
12,34,6
12,35,4
12,36,4
12,37,6
12,38,6
12,39,10
12,40,3
12,41,3
12,42,6
12,43,14
12,44,4
12,45,6
12,46,10
12,47,4
12,48,5
12,49,8
12,50,5
13,14,16
13,15,16
13,16,14
13,17,14
13,18,12
13,19,12
13,20,10
13,21,12
13,22,10
13,23,8
13,24,10
13,25,32
13,26,10
13,27,10
13,28,10
13,29,8
13,30,8
13,31,28
13,32,8
13,33,6
13,34,24
13,35,8
13,36,8
13,37,8
13,38,12
13,39,8
13,40,4
13,41,6
13,42,6
13,43,12
13,44,6
13,45,6
13,46,6
13,47,5
13,48,5
13,49,6
13,50,4
14,15,8
14,16,12
14,17,10
14,18,8
14,19,6
14,20,8
14,21,6
14,22,18
14,23,6
14,24,6
14,25,8
14,26,6
14,27,4
14,28,6
14,29,4
14,30,4
14,31,4
14,32,4
14,33,3
14,34,6
14,35,4
14,36,3
14,37,3
14,38,6
14,39,4
14,40,2
14,41,2
14,42,3
14,43,5
14,44,12
14,45,3
14,46,3
14,47,10
14,48,8
14,49,3
14,50,2
15,16,8
15,17,8
15,18,6
15,19,14
15,20,6
15,21,8
15,22,6
15,23,6
15,24,6
15,25,10
15,26,6
15,27,8
15,28,6
15,29,6
15,30,5
15,31,14
15,32,5
15,33,4
15,34,6
15,35,4
15,36,6
15,37,4
15,38,8
15,39,5
15,40,4
15,41,6
15,42,3
15,43,5
15,44,3
15,45,3
15,46,3
15,47,3
15,48,3
15,49,3
15,50,3
16,17,24
16,18,8
16,19,6
16,20,12
16,21,6
16,22,8
16,23,5
16,24,6
16,25,10
16,26,6
16,27,5
16,28,18
16,29,6
16,30,5
16,31,6
16,32,5
16,33,3
16,34,10
16,35,4
16,36,3
16,37,4
16,38,6
16,39,4
16,40,2
16,41,2
16,42,4
16,43,6
16,44,6
16,45,3
16,46,3
16,47,5
16,48,5
16,49,3
16,50,2
17,18,6
17,19,6
17,20,8
17,21,6
17,22,6
17,23,4
17,24,5
17,25,14
17,26,5
17,27,4
17,28,14
17,29,5
17,30,4
17,31,6
17,32,4
17,33,3
17,34,10
17,35,3
17,36,3
17,37,4
17,38,6
17,39,4
17,40,2
17,41,2
17,42,3
17,43,5
17,44,5
17,45,3
17,46,3
17,47,4
17,48,4
17,49,3
17,50,2
18,19,6
18,20,6
18,21,6
18,22,5
18,23,5
18,24,18
18,25,6
18,26,5
18,27,4
18,28,4
18,29,4
18,30,3
18,31,4
18,32,3
18,33,2
18,34,4
18,35,14
18,36,3
18,37,3
18,38,5
18,39,4
18,40,2
18,41,2
18,42,2
18,43,4
18,44,2
18,45,3
18,46,2
18,47,2
18,48,3
18,49,2
18,50,2
19,20,5
19,21,6
19,22,4
19,23,4
19,24,5
19,25,6
19,26,4
19,27,8
19,28,4
19,29,6
19,30,4
19,31,6
19,32,4
19,33,4
19,34,4
19,35,3
19,36,6
19,37,3
19,38,5
19,39,4
19,40,4
19,41,5
19,42,2
19,43,4
19,44,2
19,45,3
19,46,2
19,47,2
19,48,2
19,49,2
19,50,3
20,21,5
20,22,6
20,23,4
20,24,4
20,25,4
20,26,4
20,27,3
20,28,6
20,29,4
20,30,3
20,31,3
20,32,3
20,33,2
20,34,4
20,35,3
20,36,2
20,37,3
20,38,4
20,39,3
20,40,2
20,41,2
20,42,2
20,43,4
20,44,3
20,45,2
20,46,2
20,47,3
20,48,3
20,49,2
20,50,2
21,22,5
21,23,14
21,24,5
21,25,6
21,26,5
21,27,4
21,28,4
21,29,10
21,30,6
21,31,6
21,32,6
21,33,3
21,34,4
21,35,4
21,36,4
21,37,4
21,38,5
21,39,18
21,40,3
21,41,3
21,42,4
21,43,8
21,44,3
21,45,12
21,46,5
21,47,3
21,48,4
21,49,4
21,50,5
22,23,4
22,24,4
22,25,4
22,26,4
22,27,3
22,28,4
22,29,3
22,30,3
22,31,3
22,32,3
22,33,2
22,34,3
22,35,3
22,36,2
22,37,3
22,38,4
22,39,3
22,40,2
22,41,2
22,42,2
22,43,4
22,44,12
22,45,3
22,46,3
22,47,10
22,48,8
22,49,3
22,50,2
23,24,4
23,25,4
23,26,3
23,27,3
23,28,3
23,29,6
23,30,4
23,31,3
23,32,4
23,33,2
23,34,3
23,35,3
23,36,2
23,37,3
23,38,3
23,39,8
23,40,3
23,41,2
23,42,2
23,43,3
23,44,2
23,45,6
23,46,3
23,47,2
23,48,3
23,49,2
23,50,3
24,25,4
24,26,3
24,27,3
24,28,3
24,29,3
24,30,2
24,31,3
24,32,2
24,33,2
24,34,3
24,35,10
24,36,2
24,37,2
24,38,3
24,39,3
24,40,2
24,41,2
24,42,2
24,43,3
24,44,2
24,45,2
24,46,2
24,47,2
24,48,2
24,49,2
24,50,2
25,26,4
25,27,4
25,28,6
25,29,4
25,30,4
25,31,8
25,32,4
25,33,3
25,34,8
25,35,3
25,36,3
25,37,3
25,38,5
25,39,4
25,40,2
25,41,3
25,42,3
25,43,4
25,44,3
25,45,3
25,46,3
25,47,2
25,48,2
25,49,3
