Keyword Pair,Co-occurrence,Confidence,Lift
bash - python,112,0.991,1.49
linux - python,109,0.747,1.122
bash - linux,92,0.814,1.216
linux - slurm,91,0.623,1.087
python - slurm,89,0.614,1.07
bash - slurm,80,0.708,1.235
ansible - python,73,0.859,1.291
kubernetes - slurm,71,0.835,1.457
ansible - bash,70,0.824,1.589
ansible - linux,67,0.788,1.177
infiniband - slurm,66,0.75,1.308
ansible - slurm,65,0.765,1.334
infiniband - linux,63,0.716,1.069
kubernetes - linux,61,0.718,1.072
infiniband - python,60,0.682,1.025
kubernetes - python,59,0.694,1.044
docker - slurm,54,0.885,1.544
lustre - slurm,54,0.871,1.519
infiniband - kubernetes,52,0.591,1.516
bash - kubernetes,50,0.442,1.135
docker - python,49,0.803,1.208
docker - linux,49,0.803,1.199
bash - infiniband,49,0.434,1.074
pbs - slurm,47,0.904,1.576
linux - lustre,47,0.322,1.132
ansible - kubernetes,47,0.553,1.418
mpi - python,46,0.78,1.172
ansible - infiniband,46,0.541,1.341
bash - docker,46,0.407,1.455
lustre - python,46,0.742,1.115
gpfs - lustre,45,0.978,3.44
pbs - python,44,0.846,1.272
cuda - python,43,0.729,1.096
bash - pbs,43,0.381,1.595
infiniband - lustre,43,0.489,1.718
bash - lustre,42,0.372,1.307
linux - pbs,42,0.288,1.206
docker - kubernetes,42,0.689,1.766
gpfs - slurm,41,0.891,1.554
cuda - slurm,40,0.678,1.182
c++ - python,40,0.833,1.253
cuda - linux,39,0.661,0.987
ansible - docker,38,0.447,1.598
mpi - slurm,38,0.644,1.123
gpfs - linux,38,0.826,1.233
ansible - lustre,38,0.447,1.572
infiniband - rdma,38,0.432,2.189
linux - mpi,37,0.253,0.936
apptainer - slurm,36,0.947,1.652
cuda - mpi,36,0.61,2.255
